S.No.,Name,Symbol,CMP Rs.,All time high Rs.,Mar Cap Rs.Cr.,P/E,5Yrs PE,NP Qtr Rs.Cr.,NP Prev Qtr Rs.Cr.,NP PY Qtr Rs.Cr.,Profit Prev 12M Rs.Cr.,ROCE %,ROCE 5Yr %,Profit growth %,Sales growth %,PAT 12M Rs.Cr.,ROE %,NP 12M Rs.Cr.
1,Reliance Industr,RELIANCE,2393.9,2632,1619636.49,23.68,24.7,19878,18258,15512,72903,9.14,9.44,6.74,3.42,68405.51,8.94,77269
2,TCS,TCS,3457.1,4045.5,1264970.65,28.33,29.14,11380,11120,10465,43904,58.67,51.25,12.75,13.93,44654,46.92,44819
3,HDFC Bank,HDFCBANK,1532.1,1757.8,1162828.53,17.18,23.34,17312.38,12403.25,11162.59,48935.28,6.24,6.67,30.51,47.44,54474.58,17.11,55085.07
4,ICICI Bank,ICICIBANK,929.4,1008.7,651460.52,16.21,23.84,11350.86,11014.45,8361.21,38777.57,6.32,5.64,35.52,36.21,40177.37,17.15,41767.22
5,Infosys,INFY,1437.4,1953.9,596583.61,23.99,25.3,6215,5945,6026,24691,40.48,35.41,8.72,12.97,24871,31.82,24880
6,Hind. Unilever,HINDUNILVR,2515.2,2859.3,590969.19,57.2,66.05,2657,2556,2670,10308,26.55,64.43,6.66,8.7,10331.75,20.47,10295
7,Bharti Airtel,BHARTIARTL,973.15,981,569742.05,52.94,88.63,2093.2,1520.2,2978.9,11338.8,12.3,8.43,73.13,13.67,10761.32,12.05,10453.1
8,ITC,ITC,437.8,499.7,546066.79,27.13,21.75,4964.52,5189.61,4681.85,20194.3,39.01,33.53,16.62,1.47,20130.81,29.09,20476.97
9,St Bk of India,SBIN,560.35,629.65,500090.63,7.33,12.61,16647.89,19094.34,15296.71,69047.99,5.2,4.76,65.63,28.85,68207.44,16.75,70399.17
10,Bajaj Finance,BAJFINANCE,7020.8,8192,433901.64,33.08,48.06,3550.8,3436.89,2780.65,12348.33,11.77,11.21,32.22,31.87,13118.48,23.48,13118.48
11,Life Insurance,LICI,677.65,920,428613.47,11.51,15,7925.02,9543.71,15952.49,45258.21,148.72,705.39,93.49,2.42,37230.74,129.81,37230.74
12,Larsen & Toubro,LT,3054.25,3117.55,419821.42,34.45,22.83,3845.5,3095.59,2785.26,13397.89,11.6,11.45,26.87,19.06,12187.37,11.69,14458.13
13,HCL Technologies,HCLTECH,1309.15,1377.75,355259.47,23.01,19.66,3833,3531,3487,15095,28.26,27.42,11.86,14.18,15440,23,15441
14,Kotak Mah. Bank,KOTAKBANK,1744,2253,346625.54,20.18,33.35,4461.04,4150.19,3608.18,16319.81,6.86,6.98,25.73,35.38,17172.67,14.31,17172.67
15,Maruti Suzuki,MARUTI,10515.65,10846.1,317656.76,27.98,38.99,3764.3,2525.2,2112.5,9700,14.5,11.68,87.13,22.61,11351.8,11.52,11351.8
16,Axis Bank,AXISBANK,1008.5,1047.5,310881.25,13.27,29.9,6229.59,6113.09,5635.61,12629.82,6.15,5.41,27.52,33.36,23421.47,14.54,13223.8
17,Asian Paints,ASIANPAINT,3136.15,3590,300818.81,59.21,76.81,1232.39,1574.84,803.83,4734.14,34.37,32.58,35,4.78,5080.38,27.74,5162.7
18,Sun Pharma.Inds.,SUNPHARMA,1195.45,1214.9,286828.5,32.06,28.78,2385.1,2005.65,2255.9,8425.2,16.44,13.43,12.72,12.87,8946.42,16.55,8554.4
19,Bajaj Finserv,BAJAJFINSV,1617.25,1932.51,258030.43,34.76,39.54,3755.72,3709.42,2996.6,13341.37,11.28,11.18,35.74,29.45,7422.56,14.81,14100.49
20,Tata Motors,TATAMOTORS,673.7,687.65,247107.87,15.44,37.12,3832.08,3300.65,-898.35,10941.49,5.95,2.99,268.73,32.95,16008.01,5.62,15671.92
21,UltraTech Cem.,ULTRACEMCO,8556.2,8870.65,247006.09,43.39,33.54,1280.38,1690.22,758.7,5181.6,12.91,12.73,-12.41,17.51,5692.98,9.63,5703.28
22,NTPC,NTPC,253.9,256.85,246198.35,12.87,8.59,4726.4,4907.13,3417.67,18050.71,9.83,8.72,12.9,12.16,19125.16,12.02,19359.44
23,O N G C,ONGC,188.85,314.67,237578.57,5.05,5.73,16553.32,17382.97,6830.16,41579.83,13.92,13.59,21.92,-1.41,47006.55,14.13,51302.99
24,Wipro,WIPRO,396,739.85,206783.19,17.76,19.35,2667.3,2886,2649.1,11693.6,17.7,19.92,3.37,7.65,11643.8,15.87,11711.8
25,Coal India,COALINDIA,332.8,447.25,205095.6,7.33,6.49,6813.5,7941.4,6043.99,27232.12,70.49,69.8,7.13,12.7,27987.9,55.99,28001.63
26,Power Grid Corpn,POWERGRID,210.45,215.1,195731.21,12.75,10.19,3781.42,3597.16,3650.29,15215.66,13.09,11.21,4.77,6.14,15346.79,19.56,15346.79
27,M & M,M&M,1553.2,1670,193144.9,17.88,19.71,2483.97,3683.87,3021.38,12697.65,12.69,10.13,29.31,21.88,10802.98,18.11,12160.24
28,JSW Steel,JSWSTEEL,782.05,840,191246.73,21.53,11.4,2773,2428,-915,5728,8.33,16.24,17.71,4.89,8881.44,5.64,9416
29,Adani Ports,ADANIPORTS,795.55,987.9,171849.85,21.72,24.57,1761.63,2119.38,1737.81,6334.67,9.53,11.93,44.52,27.03,7910.34,14.42,6358.49
30,Bajaj Auto,BAJAJ-AUTO,5930.3,5960,167802.2,24.53,19,2020.05,1644.14,1719.44,6541.02,26.18,26.93,22.29,11.91,6841.63,20.22,6841.63
31,Adani Power,ADANIPOWER,397.2,432.8,153197.61,7.44,18.44,6594.17,8759.42,695.53,14706.2,15.8,11.86,99.29,14.37,20604.84,44.77,20604.84
32,Hind.Aeronautics,HAL,2240.3,2251,149825.66,24.79,11.93,1235.3,814.19,1209.22,6018.7,30.58,28.09,3.23,5.69,6044.78,27.16,6044.78
33,I O C L,IOC,103.45,154.32,146084.21,3.78,6.38,13713.08,14735.3,-910.21,25556.6,8.09,11.83,202.58,1.89,38614.31,7.17,40179.89
34,Grasim Inds,GRASIM,1949.4,2022,128358.01,19.38,15.91,2024.05,2576.35,1509.19,10895.8,9.97,9.01,-8.57,13.47,6624.92,8.85,11410.66
35,Hindustan Zinc,HINDZINC,301,408.6,127182.1,15.05,13.39,1737,1970,2681,9397,50.39,32.8,-25.88,-11.77,8453,44.49,8453
36,IndusInd Bank,INDUSINDBK,1476.2,2038,114789.81,13.82,17.98,2181.47,2123.62,1786.72,7910.05,6.91,6.9,40.46,27.61,8304.8,14.45,8304.8
37,Hindalco Inds.,HINDALCO,507.8,636,114113.66,13.57,9.59,2196,2454,2205,8432,11.34,11.16,-39.27,-1.84,8409.45,11.67,8423
38,Power Fin.Corpn.,PFC,314.95,328.75,103936.7,5.79,2.99,6628.17,5982.14,5229.33,22581.2,9.08,9.12,26.93,9.47,17946.36,20.4,23980.04
39,Bank of Baroda,BANKBARODA,193.1,228.9,99859,5.42,11.17,4426.36,4467.63,3392.47,17531.11,5.17,4.61,87.27,36,18407.24,15.12,18565
40,I R F C,IRFC,76.1,92.94,99451.33,16.39,5.96,1549.87,1556.57,1714.28,6232.01,5.32,5.52,-6.11,15.29,6067.6,14.66,6067.6
41,Interglobe Aviat,INDIGO,2568.35,2745.95,99124.22,17.67,47.02,187.86,3087.25,-1585.49,3835.95,6.9,-3.02,233.48,42.31,5609.3,,5609.3
42,Dr Reddy's Labs,DRREDDY,5646.15,5989.7,94177.9,18.5,27.17,1482.2,1405,1114.2,4723.2,26.73,16.09,63.73,19.61,5091.2,21.64,5091.2
43,B P C L,BPCL,410.6,551.55,89069.52,3.07,9.26,8243.55,10644.3,-338.49,18923.29,6.86,13.41,5950.06,4.19,28975.37,6.34,27505.33
44,REC Ltd,RECLTD,337.95,351,88989.81,6.99,3.73,3789.9,2968.05,2732.12,11680.87,9.14,9.08,24.15,9.4,12738.65,20.41,12738.65
45,Vedanta,VEDL,232.2,494.3,86313.53,17.4,7.26,-915,3308,2687,12218,21.18,18.12,-69.67,-3.01,4960.51,20.38,8616
46,Punjab Natl.Bank,PNB,75.95,279.98,83628.66,14.16,16.61,1989.93,1362.97,495.79,4450.49,4.1,4.12,150.98,27.1,5904.59,3.34,5944.63
47,Bajaj Holdings,BAJAJHLDNG,7438.85,7640,82786.96,14.93,12.81,1588.08,1415.74,1335.91,5391.92,9.71,10.34,27.25,10.76,5545.06,11.15,5644.09
48,GAIL (India),GAIL,124.5,133.14,81859.99,15.55,7.88,2442.18,1792.99,1304.61,4137.93,9.76,17.75,-55.34,3.75,5265.8,8.69,5275.5
49,Union Bank (I),UNIONBANK,106.95,426.95,79276.13,6.65,6.48,3571.8,3271.65,1853.12,10200.21,5.02,4.73,96.33,26.81,11918.89,11.38,11918.89
50,Shriram Finance,SHRIRAMFIN,1947.5,2051,73117.2,11.12,10.34,1791.83,1712.19,1578.57,6380.6,12.13,10.9,39.78,33.75,6575.42,17.27,6593.86
51,Canara Bank,CANBK,389.8,821.11,70714.8,5.09,6.8,3828.85,3754.82,2729.58,12906.29,5.33,4.96,48.34,32.4,13906.03,14.79,14005.56
52,General Insuranc,GICRE,307.1,449.5,53877.62,8.83,14.28,1605.09,731.77,1859.93,6354.53,20.59,10.79,41.31,-2.69,6099.69,16.77,6099.69
53,Indian Bank,INDIANB,408.2,463,50838.91,7.38,6.79,2069.33,1850.2,1288.04,6112.87,4.55,4.9,58.29,25.16,6892.01,11.8,6894.16
54,NMDC,NMDC,173.2,442.68,50758.09,10.14,6.05,1025.99,1653.38,971.96,5810.69,30.22,32.17,-20.96,-8.55,5005.28,23,5864.72
55,H P C L,HINDPETRO,320.2,493,45421.92,2.73,4.85,5826.96,6765.5,-2475.69,8342.39,-8.08,9.72,317.26,1.99,16645.04,-18.91,16645.04
56,Aditya Birla Cap,ABCAPITAL,168.7,264,43854.25,16.37,19.93,724.78,665.7,479.37,5065.95,11.38,9.01,39.15,20.15,2678.24,26.79,5311.36
57,Bank of India,BANKINDIA,103.55,589,42492.43,7.89,9.09,1499.19,1562.13,853.15,4742.69,4.42,3.89,68.85,36.5,5386.35,6.33,5388.73
58,Oil India,OIL,298.9,339.45,32412.87,4.7,4.27,640.36,1399.49,2115.83,8023.65,25.35,17.77,-14.98,-10.79,6900.54,25.23,6548.18
59,Authum Invest,539177,714.75,877,12139.68,5.88,99.17,1939.81,194.63,,,,0,,,2065.26,,6145.67
60,Reliance Home,RHFL,1.95,115,94.59,0.02,2.88,-0.67,6.43,-164.64,5564.87,257.7,39.33,214.09,-15.88,5900.7,,5728.84